ESNTL_ID,BOOKSTORENAME,ADDRESS,DESCRIBE,PARKING,SPAPARATE_RESTROOM,CAFE,REVIEW,BOOKTALK,SPACE_RENTAL
KCCBSPO22N000000454,책인감,서울 노원구 동일로182길 63-1 2층,책방이자 사람이 모이고 감성이 있는 장소,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000455,공덕골아름드리 북카페모모,서울 노원구 동일로186길 3-24 1층 공덕골아름드리 북카페모모,마을커뮤니티 공간,가능,구분,있음,있음,없음,불가능
KCCBSPO22N000000456,책사랑북카페,서울 노원구 한글비석로 279 중계1동 주민센터,독서활동 장소,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000457,도란도란북카페,서울 노원구 한글비석로 434 상계5동주민센터,독서활동 장소,가능,구분,있음,있음,없음,불가능
KCCBSPO22N000000458,마을북카페행복한이야기,서울 도봉구 창동 20,독서활동 장소,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000459,카페오드리 상도점,서울 동작구 양녕로 265 카페오드리,"신선한 재료, 홈메이드, Low Sugar",가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000460,북카페 산책,서울 마포구 동교로 156-10 사단법인한국기독학생중앙회관,"좋은 분위기와 음악, 책 구매 가능, 숯불 로스팅으로 직접 볶은 원두커피",가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000461,만화방구,서울 마포구 동교로 235-1,"담요, 와이파이, 핸드폰 충전기 대여서비스, 뒹굴뒹굴 가능 굴방들",불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000462,할리스커피 공덕역북카페점,서울 마포구 마포대로 100,"다양한 토양과 기후에서 자란 커피 원두 사용, 원두 본연의 맛을 살리기 위한 블랜딩",불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000463,채그로,서울 마포구 마포대로4다길 31 아리수(옵티마)빌딩 8층 신관,한강뷰가 아름다운 독서 피트니스 interactive 서점,가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000464,연남동 별빛카페달빛차,서울 마포구 성미산로 128,맛있는 커피로 정성껏 서비스,가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000465,20000dol북카페,서울 마포구 성암로11길 7,분위기 최고의 북카페,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000466,쿡앤북,서울 마포구 성지3길 61,"달콤한 자연식 베이킹의 저자가 오픈한 카페, 버터와 계란을 사용하지 않고 식물성 재료만으로 만든 쿠키와 케익, 머핀등이 준비, 세미나를 할 수 있는 공간도 준비",불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000467,디어라이프,서울 마포구 양화로12길 16-9 지하 1층,책과 커피가 함께하는 따뜻한 공간으로 드러오는 입구엔 프란츠 카프카의 문구를 새긴 구조물이 반기고 있음,불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000468,카페책속의한줄,서울 마포구 연남로3길 22-15,독서활동 장소,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000469,카페창비,"서울 마포구 월드컵로12길 7 창비서교빌딩 1층, 지하1층","다양한 큐레이션으로 만날 수 있는 책, 일상의 변화를 주는 모임과 이벤트가 가득",가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000470,당인리책발전소,서울 마포구 월드컵로14길 10-8,"카페와 독립서점을 한 공간에서 즐길 수 있는 장소, 오상진 김소영 아나운서가 운영하는 북카페",불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000471,북카페 다독다독,서울 마포구 홍익로2길 16 마포평생학습관 1층,"도서관 내 카페, 수입금은 발달장애인 바리스타 훈련 및 일자리 창출을 위해 사용됨",가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000472,북카페 피터캣,서울 서대문구 신촌로 21 2층,"주말마다 열리는 독서모임, 주인장이 추천하는 도서만 판매",불가능,구분안함,있음,없음,있음,가능
KCCBSPO22N000000473,북카페파오,서울 서대문구 이화여대길 34 신흥빌딩 3층,"기획, 전시, 강의, 독립출판을 겸하고 있으며 북마페와 서점을 갖춘 복합 문화 공간, 매달 다양한 문화 행사 진행",불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000474,사랑해북갤러리,서울 서초구 양재천로7길 16,"아름다운 인테리어, 고요한 분위기",불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000475,북카페초록,서울 성동구 서울숲4길 28-3 지층 좌,"조용하고 안락한 북카페, 책 판매",불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000476,금호1가동 북카페 책단지꿀단지,서울 성동구 행당로 15 금호1가동주민센터 1층,"저렴하고 조용한 분위기, 현금결제 불가",불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000477,꿈의숲푸르지오 키즈&맘북카페,서울 성북구 오패산로16가길 40,"독서활동 장소, 작은 도서관",가능,구분,있음,있음,없음,불가능
KCCBSPO22N000000478,북카페리비,서울 성북구 오패산로16가길 99,"교회 북카페, 기부 카페",가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000479,한입스토리북 서울점,서울 성북구 장위동 301-2,독서활동 장소,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000480,자작나무숲 북카페,서울 성북구 정릉로10길 107,"편안하고 아늑한 공간, 자작나무숲 내에 위치",가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000481,북카페다리,서울 송파구 동남로24길 11 1층,"시낭송회, 음악회 등 문화 행사에 관련해서 재휴 가능, 작은 무대 준비",불가능,구분안함,있음,없음,있음,가능
KCCBSPO22N000000482,라마므레카페,서울 송파구 문정로 83 문정래미안아파트,"문정동에 위치한 라 마므레 까페, 100% 아라비카 유기농 원두로 커피를 제조",가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000483,카페 라임,서울 송파구 올림픽로10길 54,"바삭한 토스트와 커피가 맛있는 라임카페, 수제 생강차는 유기농설탕으로 만든 엑기스차로 정성껏 제조",가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000484,나임 북 카페,서울 송파구 위례광장로 193,하늘에서 가장 가까운 테라스 정원을 바라보면서 좋은 책과 함께할 수 있는 시간,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000485,이정우케이크카페,서울 송파구 위례성대로16길 4-17 2층,방이동 쌀로 만든 디저트 케이크 & 북카페,가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000486,버터북,서울 용산구 신흥로15길 20,분위기 있고 인기있는 디저트 판매,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000487,시티카메라,서울 용산구 우사단로10마길 4 시티카메라,사진과 카메라라는 매체를 기반으로 포토그래퍼들과 함께 실험적인 사진 프로젝트를 만들어가는 공간,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000488,베세토,서울 종로구 도렴동 80-3,독서활동 장소,가능,구분,있음,있음,없음,불가능
KCCBSPO22N000000489,북카페마루,서울 종로구 세검정로 227-3,"다양한 음료와 커피가 있는 북카페, 가정집을 개조, 동호회나 세미나 모임 가능",불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000490,부쿠,서울 종로구 인사동길 49 안녕인사동 4층,좋은 분위기와 책 추천 방식이 좋은 서점,가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000491,장미마을 꽃망울 북카페,서울 중랑구 동일로149길 49 1층,독서활동 장소,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000492,놀숲 강남논현점,서울특별시 강남구 강남대로 532 지층,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트",불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000493,독서동행,서울특별시 강남구 강남대로102길 45 2층,2층 카페와 3층 루프탑. 책을 읽는 공간,가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000494,놀숲 강남역점,서울특별시 강남구 강남대로98길 17 시티힐 빌딩,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트",가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000495,이프렌딩,서울특별시 강남구 강남대로98길 17,독서활동 장소,가능,구분,있음,있음,없음,불가능
KCCBSPO22N000000496,와인북카페,서울특별시 강남구 논현로149길 5 엔타시아 빌딩 1층,와인 애호가들의 놀이터로 사랑 받아온 와인북카페,가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000497,카페 쉼,서울특별시 강남구 논현로151길 30 1층,,가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000498,디파지트 가로수길점,서울특별시 강남구 논현로161길 59 지하,"어서 와, 리더는 처음이지?' 저자 장영학이 운영한느 사람과 조직문화 큐레이션 북카페",불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000499,콘체르토,서울특별시 강남구 논현로63길 16 역삼종합시장 더블루 1층 콘체르토,"음악카페, 150인치 대형 스크린을 통한 영상물 감상, 와인 카페, 매주 토/일요일 클래식 음악감상회 개최",가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000500,인사이드 cafe&study,서울특별시 강남구 도곡로 434 청은빌딩 지하 1층,"독서활동, 스터디 장소",불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000501,북까페사가,서울특별시 강남구 도곡로 509,,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000502,비비브라운,서울특별시 강남구 도산대로 412 1층 카페 비비브라운,"산미가 없고 고소하고 깔끔한 목넘김이 특징인 커피, 24시간 운영, 프라이빗 미팅룸",가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000503,놀숲 신사가로수길점,서울특별시 강남구 도산대로11길 11 지하1층,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트",불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000504,ASSOULINE,서울특별시 강남구 도산대로45길 11 지하1층 애술린라운지,도심 속 근사한 북카페,가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000505,카페 마당,서울특별시 강남구 도산대로45길 7 에르메스도산파크,"접시와 커트리, 소파에 이르기까지 모두 에르메스 제품을 사용하여 꾸며 놓음, 신라 호텔 30년 경력의 요리사가 샌드위치, 와규 스테이크 등의 식사류와 초코 수플레, 티라미수 같은 각종 디저트를 선보이고 있음",불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000506,콩툰 청담본점,서울특별시 강남구 도산대로49길 3 씨씨빌딩,"만화카페 콩툰 청담점, 다양한 종류의 만화책과 카페 메뉴, 차별화된 인테리어와 시스템으로 편안하고 쾌적한 공간을 제공",불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000507,두잉,서울특별시 강남구 삼성로 654 B01호,"페미니즘을 테마로 하는 멀티카페, 책, 미술품, 사진을 전시하는 갤러리, 여성주의 상담",가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000508,북앤레스트,서울특별시 강남구 삼성로104길 22 예림빌딩 1층,"스테이존, 레스트존, 프리이빗룸으로 공간을 나누어 각자가 원하는 방법으로 편하게 시간을 보낼 수 있도록 공간에 힘을 주었음",불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000509,최인아책방,서울특별시 강남구 선릉로 521,큐레이션 서점,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000510,라이프북스,서울특별시 강남구 선릉로 741 1F 라이프북스,큐레이션 서점,가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000511,cafe랑담,서울특별시 강남구 선릉로152길 18,독서활동 장소,가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000512,놀숲 압구정역점,서울특별시 강남구 압구정로28길 22-6 지하 1층,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트",가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000513,송송책방,서울특별시 강남구 언주로 110 경남2차 상가 203호,"출판사 송송책방에서 운영하는 북카페, 주인 소장 책을 마음껏 이용할 수 있음, 책모임 환영",불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000514,더샵갤러리,서울특별시 강남구 언주로 832 더샵갤러리,앞선 기술력과 디자인으로 건설되는 주거환경을 경험 할 수 있음,불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000515,JSTORY,서울특별시 강남구 역삼로84길 8,독서활동 장소,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000516,더착한커피 자곡점,서울특별시 강남구 자곡로 120 세곡드림프라자 4층 405호,나눔의 시작 더착한커피,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000517,영풍문고 강남 포스코점,서울특별시 강남구 테헤란로 440 포스코 센터 지하 1층,다양한 국내외도서 취급,가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000518,프레스 임프레스,서울특별시 강남구 논현로6길 26,,가능,구분,있음,있음,없음,불가능
KCCBSPO22N000000519,커피빈 올림픽공원북2문앞점,서울특별시 강동구 강동대로 193,일반카페,불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000520,폴바셋 올림픽공원북2문점,서울특별시 강동구 강동대로 199 1층,독서활동 장소,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000521,솔향기 북카페,서울특별시 강동구 고덕로97길 20 강일리버파크10단지 관리사무소2층,독서활동 장소,가능,구분,있음,있음,없음,불가능
KCCBSPO22N000000522,아크로폴리스 앤 노사인보드,서울특별시 강동구 동남로73길 13,독서활동 장소,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000523,꿈꾸는나무,서울특별시 강동구 명일로10길 24,독서활동 장소,가능,구분,있음,있음,없음,불가능
KCCBSPO22N000000524,카페탄젠트,서울특별시 강동구 성안로 196 1층 카페탄젠트,길동 커피 맛집,가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000525,고래힐 Book Cafe,서울특별시 강동구 아리수로50길 50 커뮤니티센터 북카페,영어프로그램 서비스,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000526,놀숲 둔촌역점,서울특별시 강동구 양재대로 1319 3층,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트",불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000527,강동구립북카페도서관 1호점,서울특별시 강동구 양재대로 1419 2층,독서활동 장소,불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000528,더라이브러리 명일역지점,서울특별시 강동구 양재대로 1622 2층 더라이브러리,독서활동 장소,불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000529,도담도담북카페,서울특별시 강동구 양재대로138길 37 명일1동 주민센터 1층,독서활동 장소,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000530,커피랑도서관 암사점,서울특별시 강동구 올림픽로 759 대덕빌딩,22시부터 다음날 아침 9시까지는 관리자 없이 무인운영,가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000531,커몬코믹플렉스,서울특별시 강동구 올림픽로 781 우리들클리닉 지하1층,"매월 마지막 주 월요일은 환기, 청소 및 전체 소독을 위해 정기휴무",불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000532,놀숲 천호로데오점,서울특별시 강동구 천호대로157길 37 2층 놀숲,편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테이먼트,가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000533,승룡이네집,서울특별시 강동구 천호대로168가길 65-29,독서활동 장소,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000534,아운트,서울특별시 강동구 양재대로126길 54 101호,큐레이션 책방,불가능,구분안함,있음,있음,있음,가능
KCCBSPO22N000000535,놀숲 수유점,서울특별시 강북구 노해로8길 22,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트",불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000536,역사전문서점 물음,서울특별시 강북구 덕릉로 166-1,"목요일은 오후4시까지 영업. 역사전문 서점, 북카페",불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000537,알라딘중고서점 COFFEE 수유점,서울특별시 강북구 도봉로 342,중고서점,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000538,놀숲 미아사거리점,서울특별시 강북구 도봉로 40 8층,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트",불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000539,징검다리북까페,서울특별시 강북구 삼각산로 155 (수유동) 1층,독서활동 장소,가능,구분,있음,있음,없음,불가능
KCCBSPO22N000000540,씽크엘작은도서관,서울특별시 강북구 삼양로54길 92,독서활동 장소,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000541,꿈꾸는 타자기,서울특별시 강북구 솔샘로68길 16,책 보드게임 퍼즐 그리고 고양이 다섯마리가 살고 있음,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000542,카페브러리,서울특별시 강북구 오패산로77길 8,독서활동 장소,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000543,카페스케치북,서울특별시 강북구 한천로 1010,,가능,구분,있음,있음,없음,불가능
KCCBSPO22N000000544,커피베이 강북수유점,서울특별시 강북구 한천로 1095,독서활동 장소,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000545,로브빈스커피,서울특별시 강서구 강서로 161-10,"비료, 살충제등을 덜 사용하면서 동 식물의 안식처를 그대로 보존하며 태양으로 인한 커피나무의 스트레스를 덜어 생산한 원두 사용",불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000546,더하늘꿈북카페,서울특별시 강서구 강서로45라길 28,독서활동 장소,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000547,발음북카페,서울특별시 강서구 강서로47다길 35,독서활동 장소,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000548,나무곁에 서서,서울특별시 강서구 강서로76길 19 1층,"목, 금 오후2시~오후7시 영업. 숲, 생태, 환경, 교육을 이야기하는 공간",불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000549,꿈터작은도서관,서울특별시 강서구 곰달래로 79 화곡1동주민센터 3층,화곡 1동 주민센터내 엘리베이터가 신설되어 3층까지 노약자나 장애우를 위해 편의를 제공,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000550,더플롯커피,서울특별시 강서구 공항대로45길 7,독서활동 장소,가능,구분,있음,있음,없음,불가능
KCCBSPO22N000000551,등마루골작은도서관,서울특별시 강서구 등촌로 143 등촌2동주민센터 2층,독서활동 장소,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000552,다빈,서울특별시 강서구 마곡서로 168 럭스나인 오피스텔 L동 2층,차 한잔을 통해 누군가와 더 깊은 관계를 이룰 수 있는 작은공간,가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000553,놀숲 마곡발산점,서울특별시 강서구 마곡중앙6로 93 열린프라자,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트",불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000554,글벗누리작은도서관,서울특별시 강서구 방화대로 330,독서활동 장소,가능,구분,있음,있음,없음,불가능
KCCBSPO22N000000555,다시서점,서울특별시 강서구 방화대로33길 13 1층,"시집과 시인의 산문류, 텍스트 위주의 독림출판물 판매",불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000556,예인,서울특별시 강서구 방화대로34길 120 신안빌라 상가동 2층 1호,독서활동 장소,가능,구분,있음,있음,없음,불가능
KCCBSPO22N000000557,더플롯커피 2호점,서울특별시 강서구 양천로 510 현대프린스텔,독서활동 장소,가능,구분,있음,있음,없음,불가능
KCCBSPO22N000000558,놀숲 사당역점,서울특별시 관악구 과천대로 941 6층,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트",불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000559,놀숲 서울대입구역점,서울특별시 관악구 관악로 155,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트",불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000560,세상과연애하기,서울특별시 관악구 관악로14길 14 2층,서울대입구 근처 작고 따뜻한 분위기의 북카페,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000561,카페몽실,서울특별시 관악구 난곡로 98,"출판사인 몽실북스에서 운영하고 있으며, 더치와 아메리카노가 맛있고 조용히 책 읽기에 좋음",가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000562,책이는당나귀,서울특별시 관악구 당곡6길 6,브레이크 15-17시(토제외) 큐레이션 동네책방,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000563,고지트,서울특별시 관악구 신림로 107 2층,고양이와 책이 있는 공간 고지트,가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000564,재론북스,서울특별시 관악구 신림로 318 1층 101호 재론북스,독립출판물과 북큐레이션 서점. 쌍화차 대추차 커피 등 판매,가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000565,놀숲 신림역점,서울특별시 관악구 신림로 321,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트",불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000566,영풍문고 신림 포도몰점,서울특별시 관악구 신림로 330 포도몰 7층,금요일은 토요일 영업시간과 같음. 다양한 국내외도서 취급,가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000567,관객의 취향,"서울특별시 관악구 양녕로 19 1층,2층",독립출판물 주로 취급,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000568,달리봄,서울특별시 관악구 중앙길 27,페미니즘 서적과 함께 다양한 여성의 이야기를 모아 소개,가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000569,허스토리,서울특별시 관악구 중앙길 27,,가능,구분,있음,있음,없음,불가능
KCCBSPO22N000000570,자상한시간,서울특별시 관악구 중앙길 59 1층,자상한 시간을 찾는 벗들에게 책과 커뮤니티 모임을 통해 행복이 자라나는 편안하고 따뜻한 공간을 제공,불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000571,하얀정원,서울특별시 관악구 행운1길 40 1층,"헌 책과 새 책, 예술을 사랑하는 사람들의 놀이공간이자 아지트",불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000572,Cafe&Meal 치포리,"서울특별시 관악구 호암로24길 17 1, 2층",사회적기업 안테나에서 운영하는 다양한 사람들이 기부한 책을 함께 공유하고 누구나 편하게들러 쉬어갈 수 있는 커뮤니티 공간,불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000573,책방열음,서울특별시 광진구 광장로 59-1 1층,다양한 종류의 국내외 도서와 카페,불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000574,장신대구내서점,서울특별시 광진구 광장로5길 25-1,독서활동 장소,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000575,생산적헛소리,서울특별시 광진구 능동로19길 5 지하,모임과 인문/문화/예술 관련 프로그램을 만들어 운영,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000576,커피인더카툰,서울특별시 광진구 동일로22길 64 2층,16000권 이상의 책들과 한끼식사가 가능한 음식들과 간식들과 따뜻한 베이커리와 음료가 함께 있는 공간,불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000577,북카페그루터기,서울특별시 광진구 동일로76가길 28 중곡제3동주민센터,,가능,구분,있음,있음,없음,불가능
KCCBSPO22N000000578,인덱스,서울특별시 광진구 아차산로 200 커먼그라운드 3F,건대 커먼그라운드 안에 있는 숍인숍 서점,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000579,놀숲 건대점,서울특별시 광진구 아차산로 224 3층 놀숲건대점,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트",불가능,구분,있음,없음,없음,불가능
